	CNS Median	CS Median	HNS Median	HS Median
FGF-basic	8.203798899	9.122976757	8.434018782	8.893599481
IL-1 beta	1.511019104	24.84970016	3.803472548	36.57409119
IL-6	7.024541685	235.470336	8.90874013	253.1684455
IL-12	42.07191455	138.4225728	60.38363006	140.1850609
MIP-alpha	119.2209995	844.3954647	119.2209995	928.7576552
GM-CSF	48.46598999	56.81736142	48.60497606	53.80007413
MIP-1 beta	41.95522256	86.54162229	50.34434824	99.65473155
MCP-1	58.46699179	278.8554127	215.599836	228.0383247
EGF	1.36559091	1.36559091	1.36559091	2.456257274
IL-5	4.439654629	4.550226141	4.49494469	4.56861559
HGF	19.15531422	28.73297134	19.15531422	39.13577923
IFN-gamma	9.76705681	15.84959943	11.50119867	15.41574882
MIF	28.91706108	32.83207707	41.86764366	32.83207707
IL-1 RA	96.1061089	115.1203133	336.2107104	108.6576112
TNF-alpha	5.00190935	112.8293696	5.00190935	195.2303399
IP-10	0.715550976	16.34559268	25.63762618	11.62721759
IL-4	28.11493799	30.36386702	29.61484902	31.11022478
IL-8	42.65278114	608.185203	92.34323959	882.7547819
